[[1.8130, 2.4390, 2.1370, 0.0830, 2.4270, 1.0620, 0.2320, 0.9910, 1.3450, 1.0120, 0.0540, 2.1020, 1.5190, 2.7980, 0.2700, 1.8040, 1.9150, 1.2420, 0.3920],
[1.4760, 2.2510, 2.9440, 1.4560, 1.4120, 2.4720, 0.2500, 2.9520, 1.5280, 0.7000, 0.4350, 0.9480, 1.6110, 2.4460, 2.2550, 1.8940, 1.6710, 0.9910, 0.7900],
[2.2280, 2.4280, 0.8640, 1.2440, 2.8660, 2.7890, 2.0160, 2.7930, 1.5210, 0.6010, 1.4730, 1.8570, 0.8630, 2.2410, 0.9710, 1.7960, 1.9260, 0.7210, 2.5030],
[1.9780, 1.5840, 0.2720, 2.5140, 2.9380, 1.2490, 2.4730, 1.3030, 0.5740, 0.5550, 2.3790, 0.8910, 0.7430, 1.8380, 1.0530, 0.0450, 0.3680, 1.2000, 0.3890],
[0.8680, 1.4000, 2.7200, 2.1870, 0.8880, 2.8640, 0.9920, 2.4810, 2.2400, 2.9900, 2.2910, 0.8480, 1.1300, 2.5750, 0.1720, 2.4700, 0.8560, 0.4210, 2.0290],
[0.3460, 0.7940, 1.9150, 0.2880, 0.5950, 1.2470, 2.9570, 0.5350, 1.5230, 2.2110, 2.7010, 2.7530, 2.0660, 1.9960, 2.8490, 2.7110, 1.0590, 2.8640, 1.0030],
[2.0690, 1.2550, 0.5470, 0.7440, 2.7480, 1.8070, 0.4160, 1.1810, 2.7420, 1.6700, 0.6410, 0.2470, 2.7100, 0.3230, 1.5400, 1.3420, 1.0870, 1.2830, 2.7320],
[0.7420, 0.0370, 0.4590, 2.5430, 1.3560, 2.1360, 1.3900, 0.1480, 0.9680, 1.9760, 1.1440, 2.7280, 0.4950, 1.1930, 0.1850, 0.8750, 2.8150, 2.2490, 0.3070],
[1.3420, 1.3590, 0.0590, 1.8220, 1.0240, 0.1020, 1.0370, 2.1800, 0.5950, 2.6630, 2.5880, 2.3110, 1.5570, 0.7530, 1.6210, 1.5410, 1.8300, 1.3460, 2.1660],
[0.5780, 1.3660, 2.8830, 0.7310, 0.1980, 2.7560, 0.9070, 2.4130, 0.9780, 1.6680, 0.0950, 0.5310, 2.6800, 2.8690, 0.5180, 1.1300, 1.7340, 1.7300, 2.8530],
[0.6000, 0.2670, 2.6570, 1.3440, 0.8600, 0.5330, 1.2850, 0.0950, 2.2690, 0.6910, 0.6010, 2.1220, 2.6800, 1.8210, 2.2580, 1.9850, 1.8240, 1.4030, 1.7350],
[2.8690, 1.5210, 1.2270, 2.9220, 2.7580, 2.1130, 1.6590, 0.1780, 1.3040, 2.8790, 1.2970, 0.7930, 2.7940, 2.7650, 0.4600, 2.6250, 2.5550, 1.9770, 1.7240],
[1.4510, 2.6720, 1.9020, 1.8730, 0.5980, 2.6570, 2.2340, 1.2390, 0.7430, 1.3980, 1.2790, 1.3000, 1.8960, 2.3280, 2.6390, 0.1220, 1.4410, 1.9640, 0.1110],
[0.1000, 1.7210, 2.6790, 0.2710, 1.2680, 1.5800, 0.8180, 1.2040, 2.9670, 0.9150, 2.0590, 0.5130, 0.9470, 1.0540, 0.1860, 0.7130, 1.7100, 1.0080, 1.0390],
[1.1870, 2.1740, 2.7820, 0.9690, 2.1270, 1.0310, 0.3620, 2.0320, 0.2040, 2.9850, 1.9360, 2.0040, 1.0600, 1.1930, 1.8700, 0.5160, 1.9130, 0.8600, 0.2640],
[1.3600, 2.4590, 1.1630, 0.7420, 0.3580, 0.3670, 0.0760, 1.9820, 2.6330, 1.7200, 0.3870, 1.8860, 2.8220, 1.6930, 0.2850, 0.6100, 1.3800, 1.0520, 2.9440],
[0.8160, 2.8070, 1.9230, 0.5520, 0.1450, 1.9910, 1.2070, 0.8730, 1.1950, 0.6160, 0.2420, 0.6540, 2.7870, 0.4910, 0.4040, 2.5930, 1.1720, 1.4690, 2.3040],
[0.8740, 2.6270, 2.2380, 2.1430, 1.3300, 1.0140, 2.1040, 1.9380, 1.9800, 2.3040, 2.2900, 1.1320, 2.9130, 1.2470, 2.0020, 2.6750, 0.7730, 0.5230, 1.9610],
[1.9680, 0.2790, 2.2250, 2.7440, 2.8900, 1.1460, 1.2940, 1.5590, 1.4240, 1.6890, 0.3330, 1.0390, 1.7560, 0.1110, 0.1930, 0.7820, 1.6300, 0.3810, 0.3540]]
